area_id,name,aliases,icon,picture
basement,basement,[],,
basement_kitchen,basement kitchen,[],,
basement_main,Basement main,[],,
basement_utility,Basement utility,[],,
bedroom,Bedroom,[],,
boiler_room,Boiler room,[],,
family_room,Family Room,[],,
front_hall,Front hall,[],,
front_room,Front room,[],,
garage,Garage,[],,
giovani_s_device,giovani's device,[],,
great_room,great room,[],,
half_bath,Half bath,[],,
kitchen,Kitchen,[],,
laundry_room,Laundry room,[],,
living_room,Living Room,[],,
main_floor,main floor,[],,
master,Master,[],,
master_bath,Master bath,[],,
outside,outside,[],,
remoterashighcountry,remoterashighcountry,[],,
second_floor,second floor,[],,
upper_front_bedroom,upper front bedroom,[],,
upper_guest,upper guest,[],,
upper_hall,Upper hall,[],,
upstairs_bath_room,Upstairs bath room,[],,
office,Office,[],,
dining_room,Dining Room,[],,
basement_guest,basement guest,[],,
first_floor_bathroom,First Floor Bathroom,[],,
